Countries,Government Size,Economic Freedom
Iran,6.695386036,5.78
South Africa,6.695425778,6.89
Ecuador,6.696349575,5.92
Spain,6.696751599,7.74
Australia,6.699871774,8.01
Ghana,6.700388617,6.82
Colombia,6.701751043,6.58
Botswana,6.702037586,7.43
Pap. New Guinea,6.705297309,6.06
Zambia,6.705882353,6.64
Togo,6.705933232,5.79
Algeria,6.710156703,3.94
Ethiopia,6.710239778,5.53
Latvia,6.711107452,7.53
Russia,6.712471159,6.83
Greece,6.71309104,7.26
Morocco,6.713649319,6.28
Nigeria,6.715082682,6.22
Nigeria,6.715092572,5.95
Malawi,6.716160442,5.56
Malawi,6.716160442,6.22
Moldova,6.716609232,6.7
Swaziland,6.719130434,6.58
Mexico,6.719285943,6.77
Togo,6.71990382,5.82
Cyprus,6.721395656,6.04
Australia,6.721666025,7.92
Costa Rica,6.722002424,7.18
Unit. Arab Em.,6.722602587,7.5
Kuwait,6.72280073,7.08
Macedonia,6.723166564,7.23
Benin,6.724119382,6.14
Lithuania,6.72686248,7.55
Spain,6.727319158,7.73
Brazil,6.727584549,6.18
Unit. Arab Em.,6.729955528,7.45
Bulgaria,6.730326608,7.29
Syria,6.731870368,5.96
Brazil,6.732818485,6.24
Uganda,6.733282703,7.13
Morocco,6.733621173,6.22
India,6.733879725,6.37
Seychelles,6.734199911,7.33
Bahrain,6.737241545,7.33
"Korea, South",6.739423798,7.47
Zimbabwe,6.742647059,5.63
Bulgaria,6.743014809,5.65
New Zealand,6.747311324,8.48
United Kingdom,6.74733531,8.46
Mali,6.747749464,5.51
Ukraine,6.748513457,5.92
Pap. New Guinea,6.749141768,6.48
Philippines,6.752044067,4.92
Nicaragua,6.752626458,6.63
Brazil,6.753088647,6.45
Namibia,6.757339728,6.61
Mauritius,6.757765472,7.05
Iran,6.76005916,6.06
Belarus,6.761446145,6.23
Botswana,6.76159641,7.27
Nigeria,6.762265498,6.34
Georgia,6.763982292,7.64
Australia,6.766573951,8.14
Greece,6.767232329,7.38
Bahrain,6.767397932,7.37
Russia,6.768597941,5.5
Montenegro,6.770588235,7.04
Luxembourg,6.77141738,8.05
Kuwait,6.772580795,7.33
Mexico,6.773641609,6.71
Nepal,6.773744844,5.77
Senegal,6.775575694,5.54
Russia,6.777584549,6.56
Malawi,6.778272306,5.94
Colombia,6.780276366,6.23
Switzerland,6.781409707,7.62
Russia,6.783059394,6.65
Singapore,6.783545039,7.01
Russia,6.784300369,4.33
Unit. Arab Em.,6.784645823,7.68
Swaziland,6.785759024,6.44
Morocco,6.785836638,6.21
Bahrain,6.786317363,7.33
Tajikistan,6.787930758,6.75
Greece,6.789172944,5.82
Mauritius,6.790610726,6.38
Botswana,6.791008174,7.25
Romania,6.791420441,5.77
Unit. Arab Em.,6.792298167,7.56
Bahrain,6.793662462,7.33
Lithuania,6.794600497,7.47
Cameroon,6.796186804,5.78
Chad,6.796281455,4.97
Morocco,6.796384773,6.03
Bahrain,6.796696185,7.02
Malaysia,6.798132187,7.15
Australia,6.798495352,8.08
Tanzania,6.798946145,6.7
Pap. New Guinea,6.799601453,6.39
Malawi,6.799983972,5.37
Mongolia,6.800995753,6.73
Bahrain,6.802174664,7.42
Nigeria,6.803118007,6.12
Bahrain,6.804249614,7.36
"Korea, South",6.806330542,7.35
Mauritius,6.807024636,6.12
Malawi,6.80710696,6.52
Spain,6.808979804,5.57
Bolivia,6.809100947,5.62
Uruguay,6.809598894,7.33
Indonesia,6.810219259,4.27
Costa Rica,6.812650205,7.33
Haiti,6.813782257,6.36
Nicaragua,6.813832428,6.91
Thailand,6.814615434,6.6
United Kingdom,6.814983619,8.56
Panama,6.815435166,7.22
Mauritius,6.820876294,7.29
Madagascar,6.821459101,5.74
Madagascar,6.823139492,6
Serbia,6.823759543,6.68
Serbia,6.823795206,6.71
Ukraine,6.82569322,6.15
Sierra Leone,6.826051792,5.92
Senegal,6.82612367,6.15
"Korea, South",6.826429472,7.53
Iran,6.827422263,5.63
Sri Lanka,6.82756534,6
Mauritius,6.828391275,7.21
Pakistan,6.828585145,4.45
Mexico,6.829157317,6.67
Senegal,6.830535435,6.22
Bahrain,6.83062084,7.52
India,6.832034089,6.22
Colombia,6.832762719,5.48
Montenegro,6.833333333,7.08
Romania,6.833639275,7.69
Ethiopia,6.835239778,5.58
Iceland,6.836296832,5.95
Mexico,6.837524042,6.66
Haiti,6.838046963,6
"Korea, South",6.838079019,7.52
Uruguay,6.839554695,7.16
Namibia,6.839605706,6.83
Bahrain,6.840182722,7.49
Thailand,6.841878927,6.6
Mauritania,6.843137255,6.04
Niger,6.844368088,6.01
Colombia,6.844612333,6.55
Haiti,6.845110674,4.96
Nigeria,6.845888886,5.52
Mongolia,6.846849859,6.89
Zambia,6.847794118,6.8
Trinidad & Tob.,6.850314554,7.15
"Korea, South",6.851358391,7.51
Australia,6.851771915,8.18
Nigeria,6.852941176,5.2
Barbados,6.852941176,6.13
Uruguay,6.853146938,7.13
Venezuela,6.856702726,6.08
Togo,6.858345859,5.27
"Korea, South",6.858782414,7.55
Colombia,6.859318215,6.5
Malaysia,6.86283807,6.92
Philippines,6.867822163,6.97
Cyprus,6.869051923,7.01
Ukraine,6.872313271,5.87
Guyana,6.87254902,6.52
Romania,6.873345158,7.7
Vietnam,6.873529412,6.31
Vietnam,6.87447336,6.3
Iran,6.875951675,6.03
India,6.876262368,6.1
Turkey,6.876376781,6.99
United States,6.876397206,8.48
Zimbabwe,6.876524683,4.93
Canada,6.877530662,8.22
Madagascar,6.879969554,5.73
Switzerland,6.880882353,7.12
United States,6.884618929,8.17
Cameroon,6.891775039,5.61
El Salvador,6.892045484,4.81
Mauritius,6.892476847,7.81
Nigeria,6.89409005,5.6
Iran,6.894612535,6.02
Niger,6.895098039,5
Iceland,6.896223408,8.13
Zimbabwe,6.896909497,4.5
Philippines,6.898312018,6.76
Uruguay,6.898378225,7.15
Romania,6.898771239,7.47
Russia,6.898837955,6.54
Zimbabwe,6.9,6.01
Montenegro,6.901960784,7.25
Togo,6.902895763,5.55
Colombia,6.903734388,6.51
Russia,6.906827452,5.98
Bulgaria,6.906896137,7.17
Latvia,6.90907511,7.54
Jamaica,6.911008102,5.09
"Yemen, Rep.",6.913187225,6.17
Malaysia,6.917168884,7.36
Fiji,6.917883543,6.44
Cameroon,6.92045151,5.68
Cyprus,6.922867001,7.47
"Korea, South",6.923545823,7.46
Lithuania,6.924469066,7.44
Iceland,6.924662072,4.53
Central Afr. Rep.,6.926470588,5.19
Montenegro,6.926470588,7.04
Turkey,6.927486305,5.69
Bolivia,6.931739702,3.52
Barbados,6.935888682,6.15
Chad,6.938387562,5.23
"Korea, South",6.940262522,7.55
Cyprus,6.943693219,7.12
Unit. Arab Em.,6.944325349,7.2
Turkey,6.948039456,5.63
Taiwan,6.948396939,7.51
Cameroon,6.948418824,5.75
Taiwan,6.951916908,7.49
Madagascar,6.954258338,6.17
Iran,6.954937018,5.91
United States,6.956840151,7.88
Senegal,6.957970688,5.74
Latvia,6.958257524,7.69
United States,6.958431888,8.48
Belize,6.958850327,7.02
Niger,6.959809264,5.55
Cyprus,6.960495313,7.65
Egypt,6.961254928,6.14
Turkey,6.961686568,7.03
Lithuania,6.961974818,7.54
Colombia,6.962053214,4.62
Ghana,6.964617042,6.5
Mali,6.966644212,5.99
Ghana,6.966753486,6.52
Romania,6.966825613,6.31
South Africa,6.967100096,6.99
Unit. Arab Em.,6.967119467,7.35
Lithuania,6.967639045,7.5
Sri Lanka,6.971927421,4.76
Egypt,6.973705722,6.43
Brazil,6.976531135,6.17
Unit. Arab Em.,6.976678291,7.4
Singapore,6.978617588,7.42
Russia,6.97949884,5.9
Peru,6.97963564,7.43
"Korea, South",6.983060626,7.68
Belize,6.98427184,6.52
Panama,6.984552813,7.38
Taiwan,6.984838621,7.54
Bulgaria,6.985015567,7.37
Tanzania,6.985294118,6.62
Bulgaria,6.98536096,7.33
Thailand,6.98583507,5.83
Tunisia,6.986987653,6.68
Estonia,6.988095613,7.96
Brazil,6.99165603,6.46
"Congo, Dem. R.",6.993646818,5.16
Benin,6.997058824,6
Bulgaria,6.997073086,7.37
Zimbabwe,6.998350797,5.84
Cyprus,6.999492913,7.67
Bangladesh,7,4.45
Timor-Leste,7.000354516,6.89
Belize,7.000462052,6.81
Nigeria,7.000696963,6.39
Turkey,7.002757478,5.76
Armenia,7.003309536,7.57
Iceland,7.008718591,7.93
Tanzania,7.01128927,5.36
Uruguay,7.013634202,6.16
Romania,7.015163813,7.63
Romania,7.015460735,7.74
Belize,7.015975829,6.86
"Congo, Dem. R.",7.016138404,5.08
Zimbabwe,7.016318721,4.46
Sri Lanka,7.016819883,6.31
Sierra Leone,7.017647059,5.75
South Africa,7.019128801,7.08
Ghana,7.019694663,6.6
Bulgaria,7.019716166,7.4
Thailand,7.020287706,6.59
Sri Lanka,7.020828012,6.28
Cameroon,7.021186804,5.8
Bulgaria,7.023392636,7.41
Costa Rica,7.023882032,7.32
Latvia,7.024085513,7.61
Russia,7.025658941,5.55
Estonia,7.027855025,7.97
Vietnam,7.029411765,6.24
United States,7.031965112,8.62
Serbia,7.032414742,6.77
Turkey,7.034208206,6.86
Trinidad & Tob.,7.038187209,7.53
Vietnam,7.038235294,6.33
Ghana,7.03881231,6.41
Belize,7.042373817,6.9
Bahrain,7.043632794,7.47
Trinidad & Tob.,7.044455732,7.27
Trinidad & Tob.,7.045540151,7.58
Costa Rica,7.047144205,7.22
Nigeria,7.049961669,6.38
Tunisia,7.050671921,6.71
Unit. Arab Em.,7.051108673,7.71
United States,7.053522709,8.42
Cameroon,7.054467085,5.79
Thailand,7.057232957,6.58
Uruguay,7.060063341,7.14
Iceland,7.060758936,8.08
Central Afr. Rep.,7.061372015,5.2
Cyprus,7.062361938,7.07
Central Afr. Rep.,7.063804296,5.18
Guatemala,7.065651077,5.01
Colombia,7.065944613,6.66
Namibia,7.068493921,6.84
Central Afr. Rep.,7.070759254,5.11
South Africa,7.070932842,7.12
Armenia,7.070956595,7.59
"Yemen, Rep.",7.071275461,6.07
Turkey,7.075678635,5.84
Costa Rica,7.077659556,7.4
India,7.078305818,6.39
Kyrgyz Republic,7.079276344,6.93
Senegal,7.080882353,5.61
Belize,7.083060964,7.03
Thailand,7.08316679,6.69
"Congo, Dem. R.",7.084661003,5.78
Mexico,7.084921146,6.87
Ukraine,7.085854562,5.98
Nigeria,7.086182942,6.32
Kenya,7.089217022,7.07
Rwanda,7.089712561,6.38
Philippines,7.092799327,5.02
Chile,7.092963464,7.6
Cameroon,7.09545151,5.95
South Africa,7.095536144,7.05
United States,7.097838317,8.47
Sri Lanka,7.102666125,6.26
Tanzania,7.103686488,6.76
Iran,7.103892851,4.89
Cameroon,7.104275039,6.05
Cameroon,7.107216215,6.03
Lithuania,7.107981953,7.52
Mexico,7.108083294,6.83
Suriname,7.10869573,6.36
Mongolia,7.109886244,7.03
Cameroon,7.11162798,5.82
Taiwan,7.11204815,7.55
Taiwan,7.112251085,7.71
Namibia,7.11469267,6.79
Georgia,7.114775237,7.75
Egypt,7.122553285,6.59
Thailand,7.124827992,6.72
United States,7.126742626,8.18
Peru,7.126904783,3.87
Indonesia,7.130175993,6
"Congo, Dem. R.",7.131719827,5.67
United States,7.132840292,8.22
Costa Rica,7.13379548,7.46
Kyrgyz Republic,7.135893991,6.81
Rwanda,7.137247052,5.67
Russia,7.138872415,6.35
Senegal,7.13914365,6.23
Nigeria,7.14113814,6.39
India,7.141547123,6.52
Bulgaria,7.14178955,7.37
Pap. New Guinea,7.142254368,6.77
Nigeria,7.142655128,6.34
Mexico,7.143469295,6.6
Romania,7.144150277,7.45
Thailand,7.144454239,6.65
Russia,7.145380307,6.27
Georgia,7.146936323,6.96
Tanzania,7.147221866,6.85
Mali,7.147499566,5.99
Thailand,7.147607351,6.83
United States,7.147714309,8.42
Russia,7.147952396,6.52
Ghana,7.153987017,6.87
Thailand,7.155080308,6.73
Uruguay,7.157479782,7.26
Colombia,7.157761661,6.74
Taiwan,7.158087061,7.71
Thailand,7.161670111,6.62
Sierra Leone,7.162745098,5.36
Taiwan,7.162800355,7.7
"Congo, Dem. R.",7.163970588,4.61
Unit. Arab Em.,7.165648879,7.4
Benin,7.166666667,5.91
Taiwan,7.167374945,7.72
Thailand,7.17174601,6.61
Zimbabwe,7.177941176,5.06
Unit. Arab Em.,7.178093444,7.69
Lithuania,7.181097919,7.86
Panama,7.183082225,7.25
India,7.183490864,6.39
Indonesia,7.183507873,6.04
Mauritius,7.185393385,7.53
Kenya,7.18602703,7.1
"Congo, Dem. R.",7.188970588,4.64
Pakistan,7.189279852,5.55
Iran,7.199481087,5.04
Trinidad & Tob.,7.199731527,7.06
Colombia,7.20031255,6.82
Lithuania,7.200912131,7.72
Cyprus,7.20186929,7.73
Costa Rica,7.204325228,6.98
Senegal,7.205882353,6.2
Madagascar,7.205916641,5.87
Taiwan,7.206125318,7.89
Benin,7.209633102,6.03
India,7.210658759,6.47
Namibia,7.210929235,6.95
Nigeria,7.211885155,5.53
Uganda,7.21429919,6.92
Iran,7.214922263,4.96
Cyprus,7.215902465,7.33
Ecuador,7.216937811,6.02
Mozambique,7.220588235,5.88
Mali,7.223035209,6.09
Taiwan,7.224591599,7.76
Colombia,7.226234785,5.02
Colombia,7.227869703,6.27
Pap. New Guinea,7.228459273,6.83
Malawi,7.228485264,6.27
Taiwan,7.228868936,7.58
Mongolia,7.228900866,7.2
Lithuania,7.232764397,7.91
Ghana,7.232929957,6.55
Lithuania,7.233303802,7.86
Russia,7.236106411,6.24
United States,7.238888118,8.29
Peru,7.244341522,7.47
Indonesia,7.245798331,6.12
Uruguay,7.246009501,7.05
Singapore,7.249178764,7.08
Romania,7.250016028,7.32
Benin,7.25037844,6.04
Cyprus,7.258116285,7.77
Rwanda,7.261042094,5.96
Romania,7.263960571,7.03
Bahrain,7.264638319,7.39
Thailand,7.264795447,6.77
Togo,7.266970807,5.57
Cyprus,7.268393185,7.69
Uruguay,7.271143212,7
"Yemen, Rep.",7.272986456,6.19
Pakistan,7.273573039,5.61
Haiti,7.277017551,6.58
Chile,7.278891455,7.76
Tunisia,7.282747858,6.75
Ecuador,7.283546091,5.83
Ghana,7.284400545,6.76
Colombia,7.28761425,6.6
United States,7.288269804,8.41
Brazil,7.289832782,6.31
Seychelles,7.292656457,7.46
Colombia,7.294846931,6.7
Colombia,7.294949333,6.35
Ghana,7.29529572,6.75
Mexico,7.295439973,6.72
Chile,7.297649174,7.37
"Congo, Dem. R.",7.304683544,4.94
Mali,7.307363896,6.16
Tunisia,7.308376743,6.76
Turkey,7.310524523,6.54
Mauritius,7.312992918,7.45
Cyprus,7.31398142,7.71
Tanzania,7.314762736,6.92
Central Afr. Rep.,7.315612195,5.16
Uruguay,7.315649543,7.12
Cyprus,7.319824892,7.74
Cyprus,7.322077978,7.77
Namibia,7.322944452,6.93
Bolivia,7.323922181,6.57
Sierra Leone,7.325380152,6.27
Tanzania,7.328689051,6.92
Sri Lanka,7.331453832,6.25
Sierra Leone,7.331463376,4.93
Mexico,7.332022551,6.84
Sri Lanka,7.332039616,6.43
Pap. New Guinea,7.334078246,6.06
Pap. New Guinea,7.334312897,6.91
Pakistan,7.336193102,5.63
Zambia,7.3375,7.19
Sierra Leone,7.343137255,5.98
Chile,7.343538385,7.71
Uruguay,7.344406155,7.39
Pap. New Guinea,7.34446025,6.87
Jordan,7.345023241,7.45
Latvia,7.345160625,7.62
Turkey,7.350370652,6.44
Colombia,7.354318553,6.4
Cameroon,7.356480921,5.9
Thailand,7.358779942,6.69
Indonesia,7.359720433,5.8
Switzerland,7.360948939,8.2
Panama,7.363229284,7.58
Panama,7.363513413,7.86
Mexico,7.363661361,6.73
Liberia,7.364113374,6.56
Kyrgyz Republic,7.364721911,6.61
Switzerland,7.365972306,8.23
Switzerland,7.367298865,8.22
Cameroon,7.369716215,5.79
Uruguay,7.372014746,7.34
Mauritius,7.372497668,7.54
Panama,7.374258695,7.34
Moldova,7.374523161,6.91
"Congo, Dem. R.",7.375014174,5.18
Mexico,7.375364642,6.88
Unit. Arab Em.,7.375942997,7.56
Tanzania,7.376720087,6.76
Mexico,7.377568205,6.54
Georgia,7.377845007,7.42
Jordan,7.381609179,7.47
Peru,7.385942541,7.53
Romania,7.38660242,6.63
Rwanda,7.388284962,5.74
Nepal,7.39291909,6.12
Luxembourg,7.393819768,8.39
Sri Lanka,7.395072729,6.22
Sierra Leone,7.397058824,5.78
Vietnam,7.4,6.19
Uruguay,7.401014842,7.01
Mexico,7.403964978,6.85
Chad,7.404124593,5.16
Kenya,7.408090308,6.85
Belize,7.408377411,7.32
Paraguay,7.408535622,6.56
Panama,7.408817519,7.57
Switzerland,7.413801634,8.31
Guinea-Bissau,7.414705882,5.96
Thailand,7.418508575,6.8
Moldova,7.418623678,6.79
Pakistan,7.419564789,5.68
India,7.420688412,6.71
Switzerland,7.422625163,8.37
Fiji,7.423331152,7.04
Georgia,7.423791874,7.6
Venezuela,7.425178314,6.22
Switzerland,7.42556634,8.39
Mexico,7.427369408,6.78
"Gambia, The",7.428464134,7.24
Unit. Arab Em.,7.430030314,7.23
Taiwan,7.430398006,7.76
Uruguay,7.430458686,7.08
Jamaica,7.430473655,7.18
Belize,7.430774163,7.07
Jamaica,7.431249695,7.13
Argentina,7.431391608,6.19
Cameroon,7.431480921,6.08
Chile,7.431535502,7.74
Paraguay,7.436240192,6.37
Panama,7.445582225,7.24
Cyprus,7.446007749,7.56
"Congo, Dem. R.",7.446525886,3.93
Haiti,7.446870492,6.29
"Congo, Dem. R.",7.44743289,4.01
Indonesia,7.44910579,6.39
Cyprus,7.453776647,7.5
Zambia,7.454375701,7.05
Iran,7.456834028,5.4
Bhutan,7.461619694,7.02
Zimbabwe,7.461648501,4.55
Peru,7.461852067,7.52
New Zealand,7.464395405,8.84
Jamaica,7.465032479,7.25
Haiti,7.467458727,6.21
Bhutan,7.468850606,6.93
Kazakhstan,7.46987448,7.14
Uganda,7.470961797,5.09
Mexico,7.473016433,6.46
Mali,7.473053908,5.66
Kenya,7.474306309,6.93
"Gambia, The",7.475759865,7.22
"Gambia, The",7.475759865,7.34
Uruguay,7.478894138,6.74
Argentina,7.483452877,6.08
Kenya,7.483487956,6.74
Paraguay,7.484693919,6.5
Jamaica,7.485850434,5.62
Fiji,7.486368008,7.13
Mali,7.488235294,5.82
Nigeria,7.489893094,6.53
Niger,7.490529999,5.25
Pap. New Guinea,7.492254368,6.83
Trinidad & Tob.,7.493371337,7.38
Sri Lanka,7.493928756,6.39
Fiji,7.501809184,7.08
Latvia,7.501949431,7.76
Panama,7.502935166,7.48
Chile,7.503267751,7.76
Paraguay,7.504473874,6.41
Fiji,7.506220949,6.93
Mauritius,7.510213253,8.01
Peru,7.511486396,7.51
Kazakhstan,7.51348763,7.23
Kazakhstan,7.513578869,7.11
Sierra Leone,7.516176471,6.12
Uganda,7.517777435,6.85
Dominican Rep.,7.518787065,6.31
Uganda,7.519796842,7.11
Kazakhstan,7.520196516,7.26
Peru,7.525118208,7.64
Belize,7.526145637,7.34
India,7.532001011,6.57
Indonesia,7.532530722,5.56
Georgia,7.53387218,8.02
Uganda,7.537276666,6.94
Belize,7.537984974,7.12
Turkey,7.538116703,6.16
Uruguay,7.539876386,7.19
Switzerland,7.547175028,8.26
Kyrgyz Republic,7.552408819,6.96
Peru,7.554911905,7.42
Mauritius,7.556536783,8.02
Moldova,7.557391613,6.74
Nepal,7.557817759,6.12
Peru,7.558899663,7.62
Nicaragua,7.560012106,6.93
India,7.560062974,6.52
Belize,7.561601986,7.13
Mauritius,7.562419136,8.02
"Gambia, The",7.563259865,7.35
Argentina,7.56497265,5.99
Indonesia,7.57047753,5.86
Dominican Rep.,7.572335535,6.76
"Gambia, The",7.573553983,7.32
Paraguay,7.57506626,6.79
Switzerland,7.57679446,8.56
Mongolia,7.576947427,7.08
Uganda,7.578173153,7.14
Sierra Leone,7.579411765,6
Kazakhstan,7.581124853,7.04
Switzerland,7.581149781,8.5
Thailand,7.581373217,6.86
Indonesia,7.583684835,6.55
Jordan,7.586859201,7.46
Sierra Leone,7.588235294,6.18
Mongolia,7.588712133,6.81
Costa Rica,7.591183645,7.48
Indonesia,7.5922337,6.35
Switzerland,7.592384971,8.24
Peru,7.593686345,7.57
Chad,7.596281455,5.17
Jordan,7.597060827,7.48
Costa Rica,7.598125423,7.51
Vietnam,7.598794216,6.45
Nepal,7.600516494,5.86
Niger,7.601701662,5.32
Uganda,7.601767805,6.92
Georgia,7.603006629,7.87
Vietnam,7.604411765,6.32
Vietnam,7.607352941,6.42
Costa Rica,7.609154834,7.55
Kazakhstan,7.611674139,7.13
Indonesia,7.612702494,6.42
Gabon,7.614080782,5.71
Costa Rica,7.615586287,7.53
Paraguay,7.616096694,6.48
Indonesia,7.616252605,6.4
Nicaragua,7.616261783,7.09
Jamaica,7.616874369,7.14
Costa Rica,7.617305185,7.5
Vietnam,7.617647059,6.37
Switzerland,7.618616766,8.3
Jamaica,7.622802132,6.97
Peru,7.625106098,7.41
Mexico,7.625884547,6.78
Rwanda,7.627975351,6.09
Vietnam,7.629411765,6.3
Albania,7.63271776,6.53
"Yemen, Rep.",7.633775461,6.34
Georgia,7.635342769,7.98
Albania,7.635658936,6.6
Jamaica,7.640966179,7.3
Madagascar,7.641345297,5.88
Sierra Leone,7.644598493,6.18
Peru,7.645039656,4.62
Vietnam,7.647058824,6.4
Uganda,7.647794118,7.3
Kenya,7.655819515,6.9
Uganda,7.663970588,7.31
Madagascar,7.66424771,5.68
Georgia,7.665535844,7.11
Bangladesh,7.666666667,5.3
Haiti,7.667458727,6.54
Kyrgyz Republic,7.670504087,6.62
Uruguay,7.674767164,6.6
Madagascar,7.67548285,6.07
Sri Lanka,7.678728562,6.63
Trinidad & Tob.,7.689223268,7.49
India,7.689551984,6.54
Zambia,7.690210771,7.13
Zambia,7.695327777,7.13
Madagascar,7.701839237,6.19
Jamaica,7.702500401,7
Pakistan,7.704175879,5.85
Dominican Rep.,7.70565264,6.46
Sierra Leone,7.707043028,3.71
Kyrgyz Republic,7.710376774,6.67
Peru,7.711707656,7.39
Paraguay,7.713535143,6.72
Indonesia,7.716656535,6.84
Armenia,7.718468479,7.7
India,7.719442848,6.63
Guatemala,7.719866866,6.27
Albania,7.720415932,7.24
Paraguay,7.722342463,6.59
Benin,7.723117418,6.28
Indonesia,7.727237501,7.02
Peru,7.728145536,7.41
Argentina,7.728387142,6.28
Indonesia,7.728837749,7.01
Chad,7.729564033,5.44
Belize,7.730811562,7.27
Nicaragua,7.733088235,6.87
Albania,7.733408799,7.31
Albania,7.743789069,7.35
Peru,7.74486956,7.43
Armenia,7.747903501,7.31
Guatemala,7.747914329,7.15
Kenya,7.748813912,6.92
Nicaragua,7.749529171,6.99
Bhutan,7.749854988,6.99
Switzerland,7.752500664,8.73
Georgia,7.753333923,8.02
Paraguay,7.753514027,5.24
Guatemala,7.754311588,7.15
Thailand,7.755650719,7.07
India,7.761354613,6.23
Armenia,7.761518272,7.45
Kenya,7.762353743,6.94
Cote d'Ivoire,7.762396001,5.6
Kenya,7.768611943,6.77
Kenya,7.769724167,7.11
Indonesia,7.772704636,7
Argentina,7.775126947,7.34
Dominican Rep.,7.782200673,6.43
Chile,7.78247716,7.87
Switzerland,7.784706817,8.55
Paraguay,7.784904827,6.53
Bahamas,7.78594326,6.66
Bhutan,7.786619694,7.11
Indonesia,7.786700593,6.87
Peru,7.791165021,7.39
Mauritius,7.792441486,7.85
Mongolia,7.794434883,7.02
Niger,7.799353529,5.7
Kenya,7.801511731,7.09
Albania,7.803358188,7.27
Singapore,7.804023217,8.67
Venezuela,7.809810728,7.18
Indonesia,7.81093993,7.16
Panama,7.812416813,7.61
Kazakhstan,7.814461452,6.97
Dominican Rep.,7.816843849,6.5
Uruguay,7.817808287,6.33
Argentina,7.818144899,6.16
Niger,7.818961372,5.39
Kenya,7.819553241,7.1
Kenya,7.821194755,7.2
Kenya,7.822765738,7.12
Kenya,7.823737368,7.1
India,7.823854613,6.61
Costa Rica,7.827877064,7.57
India,7.829001671,6.36
Paraguay,7.830806219,6.45
Dominican Rep.,7.833163855,7.18
Kazakhstan,7.834591815,7.07
Dominican Rep.,7.834758929,7.26
Belize,7.836383847,7.37
Pakistan,7.836437068,6
Albania,7.838889779,6.97
Laos,7.840112728,6.91
Singapore,7.841166816,8.73
Kazakhstan,7.841174467,6.94
Turkey,7.84127764,6.43
Mauritius,7.843856981,8.12
Pakistan,7.844160581,6.09
Kyrgyz Republic,7.844296291,6.76
Cambodia,7.847095802,6.92
Dominican Rep.,7.850075619,7.24
Costa Rica,7.851228162,7.28
Armenia,7.851494384,7.42
Peru,7.852710771,7.5
Singapore,7.857738401,8.79
Pakistan,7.860701774,5.92
Jamaica,7.861501096,6.8
Cambodia,7.864580795,7.16
Zambia,7.867647059,7.15
Panama,7.868376342,7.49
Nicaragua,7.868382353,7.15
Peru,7.868889508,7.48
Switzerland,7.870653662,8.64
Cambodia,7.872060236,7.17
Mauritius,7.874389592,5.21
Chad,7.874712828,5.17
Switzerland,7.875409264,8.37
Philippines,7.877341746,6.95
Pakistan,7.877613538,5.89
Cambodia,7.878668456,6.98
Philippines,7.878782657,6.66
Chile,7.87994871,7.8
Chile,7.880263385,7.8
Armenia,7.880651312,7.36
Mongolia,7.881974275,7.17
Cambodia,7.882188652,7.08
Mauritius,7.885328178,7.98
Cambodia,7.886102261,7.2
Thailand,7.889384904,6.2
Haiti,7.895399904,6.79
Indonesia,7.895542154,6.85
Albania,7.896024691,7.48
Cambodia,7.897866967,7.17
Chile,7.899381032,7.79
Switzerland,7.906574073,8.43
Chile,7.909504728,7.89
Dominican Rep.,7.91175254,7.03
Mexico,7.915761741,6.9
Nepal,7.916691709,6.53
Dominican Rep.,7.91878611,7.24
Singapore,7.919425783,8.84
Mauritius,7.920135438,8.05
Chad,7.923732436,5.43
Albania,7.923799103,7.53
Nepal,7.933583159,6.45
Paraguay,7.933791473,6.74
Dominican Rep.,7.934148101,7.16
Albania,7.935563809,7.54
Romania,7.938663346,7.57
Rwanda,7.939193362,6.31
Argentina,7.94001531,6.84
Costa Rica,7.943386174,7.37
Chile,7.944547605,7.84
Paraguay,7.944882994,6.8
Mauritius,7.945287875,8.15
"Congo, Dem. R.",7.946525886,4.84
Chile,7.946816317,7.87
Indonesia,7.959514134,6.3
Mexico,7.964138798,6.26
Switzerland,7.966666281,8.42
Unit. Arab Em.,7.967854761,7.38
Singapore,7.969717771,8.7
Bolivia,7.970153549,6.97
Philippines,7.971262925,7
Malawi,7.973934267,6.12
Uganda,7.979758375,7.21
"Yemen, Rep.",7.980834284,6.33
Romania,7.986656515,7.24
Nicaragua,7.990441176,7.27
Pakistan,7.993478522,6.16
Guatemala,7.996173265,7.22
Chile,7.9961933,7.91
Dominican Rep.,7.997537301,7.18
Mongolia,7.999648709,7.4
Philippines,8.000225443,5.88
Chile,8.002938646,7.81
Mauritania,8.004411765,6.3
Singapore,8.006925783,8.84
Kazakhstan,8.007896786,7.15
Bolivia,8.011189734,6.88
Fiji,8.015521318,7.32
Honduras,8.026286264,6.75
Ecuador,8.027231928,5.99
Chile,8.028427669,7.88
Ecuador,8.029437811,5.94
Nicaragua,8.034558824,7.27
Moldova,8.036194369,6.73
Kyrgyz Republic,8.036301223,6.9
Albania,8.039741946,6.96
Cote d'Ivoire,8.041605225,5.87
Nicaragua,8.042756389,7.29
Greece,8.043122685,6.47
Bangladesh,8.043570773,5.72
Fiji,8.045191537,7.2
Zambia,8.05,7.34
Albania,8.050707245,7.14
Unit. Arab Em.,8.052413585,7.68
Armenia,8.05464227,7.69
Philippines,8.055114177,6.8
Bahamas,8.061198184,7.38
