Countries,Government Size,Economic Freedom
Portugal,5.216592116,6.2
Czech Rep.,5.217381142,7.46
Fiji,5.218750873,5.97
Germany,5.218849858,7.65
Finland,5.222286947,7.91
Argentina,5.222351338,3.53
Greece,5.222458056,7.01
Greece,5.226585759,6.4
Guinea-Bissau,5.22745098,5.58
Trinidad & Tob.,5.227543694,6.75
Iceland,5.22770476,6.86
Austria,5.229138495,7.85
Canada,5.229610114,7.2
Tunisia,5.229665175,6.37
Portugal,5.230393045,7.25
Morocco,5.234528568,5
Italy,5.234825293,7.19
Cameroon,5.235477836,5.5
Argentina,5.236589766,5.04
Germany,5.238067115,7.67
Czech Rep.,5.239506485,7.17
Oman,5.239621734,6.67
Canada,5.244418191,7.87
Czech Rep.,5.245091097,7.49
Iraq,5.248190078,5.4
Austria,5.249565894,7.62
Syria,5.25054873,4.61
Trinidad & Tob.,5.252646658,6.61
Poland,5.252761121,6.86
Czech Rep.,5.253105466,7.26
Barbados,5.254736881,6.13
Niger,5.260294118,4.86
Japan,5.262225517,7.49
Austria,5.2636016,7.65
Rwanda,5.26411958,7.23
Oman,5.265349493,7.51
Malaysia,5.265445883,6.42
Czech Rep.,5.267697147,7.21
Tunisia,5.268583943,6.16
Indonesia,5.269146477,4.79
Bosnia and Herzegovina,5.269687571,6.78
Angola,5.270829402,5.25
United States,5.272467035,7.77
Brazil,5.274016963,3.92
Malawi,5.274983972,5.6
Central Afr. Rep.,5.276470588,5.09
Bosnia and Herzegovina,5.277231578,6.79
Brazil,5.278225161,5.93
Tunisia,5.278820815,6.1
Ecuador,5.279437811,5.66
Israel,5.281434672,7.23
Croatia,5.282902663,5.08
Malaysia,5.284122055,6.05
Namibia,5.284715285,6.4
Bosnia and Herzegovina,5.285816509,6.7
Nepal,5.289267316,5.27
Finland,5.292687129,6.05
Venezuela,5.293811635,4.39
Trinidad & Tob.,5.29404354,6.61
New Zealand,5.295118662,7.86
Jordan,5.296015232,6.99
Nepal,5.297058824,5.59
Malaysia,5.297664008,6.34
Nepal,5.299230178,5.78
Oman,5.299754578,7.52
Italy,5.301815195,7.22
Japan,5.302620612,7.59
Nepal,5.307352941,5.65
Jordan,5.312169418,6.92
Ukraine,5.312535377,5.52
Montenegro,5.31372549,6.3
Tunisia,5.314473849,6.19
Oman,5.314807394,7.47
Oman,5.316971203,7.57
Iceland,5.317160036,6.94
Hungary,5.317499416,7.36
Burundi,5.319106036,5.43
Ecuador,5.319878987,5.88
United Kingdom,5.321888524,7.89
Central Afr. Rep.,5.322058824,4.93
Senegal,5.322656337,4.85
Trinidad & Tob.,5.323867224,6.48
Malawi,5.32645456,5.05
Nepal,5.327381057,5.33
Burundi,5.327772935,4.82
Italy,5.328741567,7.19
Mauritania,5.329411765,5.96
Botswana,5.329978763,7.12
Argentina,5.333556135,4.98
Poland,5.335051934,6.81
Bosnia and Herzegovina,5.335100673,6.63
Oman,5.338638003,7.18
Venezuela,5.340719896,4.91
Angola,5.343626641,5.3
Argentina,5.346056135,4.84
Myanmar,5.346078431,4.06
Poland,5.348115787,6.49
Poland,5.348290992,7.12
Iceland,5.348810682,5.42
Saudi Arabia,5.35,6.52
Portugal,5.350374344,7.39
United Kingdom,5.351363457,7.91
United Kingdom,5.352618609,7.9
Iran,5.352710779,4.04
Colombia,5.353649992,4.59
Australia,5.354659743,7.73
Brazil,5.354944703,4.19
Bosnia and Herzegovina,5.358630085,6.6
Bosnia and Herzegovina,5.362286729,6.61
Benin,5.364192188,5.94
Canada,5.367763065,7.77
Romania,5.368351079,4.15
Germany,5.370950146,7.76
Slovak Rep,5.372592217,6.95
New Zealand,5.372705536,6.62
Trinidad & Tob.,5.381419206,4.88
Germany,5.382417276,7.64
Mauritania,5.383333333,5.68
Brazil,5.383874289,6.05
Cyprus,5.385426882,5.87
Cote d'Ivoire,5.386233665,5.2
Japan,5.386313598,7.52
Spain,5.387329945,7.27
Pap. New Guinea,5.387927178,6.28
Jordan,5.389150483,7
Poland,5.395047506,6.59
Latvia,5.395956884,7.23
Ghana,5.39651188,3.16
